SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
517,0.708,511,0.498,523,0.143,532,0.032,1041,0.469,0.580190581
504,0.748,511,0.589,508,0.934,502,0.712,935,0.411,0.658296107
524,0.333,530,0.756,515,0.916,536,0.974,940,0.536,0.694212764
522,0.31,511,0.441,538,0.791,523,0.064,1088,0.442,0.644158887
533,0.514,531,0.397,521,0.347,513,0.608,991,0.582,0.678573157
531,0.551,506,0.715,501,0.142,528,0.127,1043,0.409,0.600512192
530,0.33,504,0.029,511,0.632,536,0.049,906,0.514,0.582818813
525,0.733,535,0.903,519,0.13,529,0.087,1080,0.483,0.621730732
503,0.536,519,0.247,534,0.104,512,0.222,914,0.495,0.61585682
512,0.12,504,0.249,537,0.298,526,0.67,932,0.447,0.675183075
526,0.697,516,0.018,514,0.006,504,0.381,1004,0.543,0.516061954
503,0.647,536,0.936,540,0.537,530,0.985,1070,0.528,0.687430689
502,0.61,501,0.994,534,0.932,518,0.192,1009,0.595,0.651316475
512,0.247,514,0.81,522,0.841,538,0.43,930,0.554,0.678391575
531,0.861,530,0.938,533,0.916,517,0.54,1088,0.505,0.676294965
507,0.757,538,0.579,524,0.736,535,0.537,914,0.533,0.688000412
523,0.801,524,0.614,524,0.085,507,0.938,944,0.45,0.655381292
513,0.132,520,0.747,533,0.999,502,0.148,992,0.458,0.651130492
532,0.302,526,0.205,516,0.282,521,0.004,998,0.52,0.569530729
535,0.587,530,0.385,538,0.072,505,0.204,991,0.417,0.619152892
514,0.483,528,0.045,533,0.838,501,0.817,1049,0.445,0.65607944
500,0.152,521,0.72,536,0.1,536,0.776,931,0.404,0.672450171
523,0.099,510,0.43,513,0.083,506,0.693,997,0.568,0.621218599
514,0.292,511,0.538,514,0.367,535,0.834,923,0.578,0.686081437
538,0.955,527,0.501,506,0.803,501,0.545,1093,0.5,0.657776488
507,0.25,527,0.55,512,0.267,514,0.594,927,0.54,0.662532074
529,0.147,503,0.71,518,0.26,528,0.507,1097,0.501,0.652833529
535,0.002,522,0.174,521,0.431,520,0.069,936,0.425,0.558234898
523,0.747,504,0.283,500,0.617,517,0.514,1079,0.453,0.643504957
518,0.715,533,0.743,528,0.928,520,0.653,1027,0.576,0.682433961
505,0.313,509,0.49,533,0.307,504,0.274,1003,0.408,0.631334543
531,0.86,505,0.161,516,0.451,533,0.587,1072,0.452,0.661778326
526,0.538,512,0.251,535,0.375,502,0.676,929,0.458,0.670165286
