SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
537,0.233,538,0.405,506,0.126,520,0.844,927,0.576,0.677170357
501,0.99,503,0.481,533,0.808,514,0.673,932,0.414,0.667877546
505,0.237,532,0.621,513,0.914,527,0.38,977,0.445,0.672360323
500,0.511,514,0.576,501,0.309,514,0.103,1044,0.413,0.588924449
528,0.663,511,0.421,540,0.609,512,0.018,960,0.464,0.640561616
501,0.545,501,0.232,507,0.556,517,0.8,1099,0.537,0.651019958
511,0.08,528,0.94,505,0.946,516,0.551,1000,0.445,0.65821842
515,0.537,502,0.234,521,0.257,502,0.31,1086,0.529,0.610293093
527,0.924,520,0.759,533,0.288,539,0.889,908,0.487,0.684310881
528,0.679,530,0.625,523,0.878,511,0.129,940,0.441,0.663549824
508,0.165,506,0.075,531,0.026,508,0.344,1045,0.511,0.540214043
510,0.399,510,0.427,536,0.106,518,0.707,955,0.532,0.660652756
517,0.574,529,0.139,540,0.892,530,0.365,912,0.419,0.684783681
522,0.221,532,0.573,527,0.365,533,0.18,1016,0.545,0.662337308
535,0.151,507,0.359,504,0.552,523,0.645,968,0.499,0.668123933
508,0.444,534,0.066,501,0.449,528,0.877,938,0.422,0.66619156
517,0.349,525,0.225,512,0.873,504,0.602,998,0.483,0.662264309
516,0.34,529,0.986,521,0.619,516,0.577,976,0.442,0.673082522
503,0.399,529,0.573,532,0.002,517,0.858,925,0.439,0.634278415
526,0.588,513,0.717,534,0.949,535,0.329,1035,0.466,0.678687068
528,0.266,531,0.421,518,0.388,518,0.013,946,0.458,0.611298803
502,0.463,537,0.08,521,0.874,528,0.025,1050,0.598,0.604578581
533,0.087,505,0.548,516,0.094,510,0.098,1013,0.591,0.565280726
507,0.008,521,0.363,514,0.246,529,0.855,1017,0.53,0.650841329
537,0.538,505,0.109,503,0.316,540,0.094,1069,0.512,0.596603687
521,0.328,502,0.425,526,0.208,518,0.301,1033,0.595,0.637285363
503,0.671,527,0.166,533,0.963,523,0.535,963,0.52,0.67911473
540,0.701,537,0.26,514,0.137,536,0.572,945,0.446,0.677625358
518,0.605,539,0.764,500,0.155,515,0.164,946,0.45,0.626112562
529,0.77,525,0.72,517,0.855,539,0.809,929,0.427,0.688139748
538,0.783,502,0.838,509,0.567,531,0.8,958,0.418,0.674559734
527,0.447,514,0.787,532,0.76,524,0.107,995,0.406,0.658444272
524,0.012,512,0.782,502,0.5,535,0.118,1049,0.553,0.601385805
527,0.479,506,0.401,509,0.144,517,0.707,927,0.506,0.65392439
528,0.462,518,0.902,529,0.063,511,0.351,1015,0.537,0.628842973
515,0.261,534,0.936,528,0.736,520,0.641,1036,0.437,0.680431826
539,0.921,511,0.332,540,0.468,539,0.358,981,0.511,0.68008094
516,0.004,501,0.775,515,0.576,523,0.998,953,0.508,0.652446259
521,0.77,539,0.551,540,0.275,535,0.45,995,0.466,0.685954674
501,0.753,504,0.688,521,0.856,539,0.542,1068,0.462,0.671038588
539,0.06,526,0.852,527,0.591,524,0.501,975,0.459,0.674919581
502,0.778,503,0.525,503,0.192,520,0.461,915,0.484,0.635327494
523,0.305,519,0.672,533,0.183,537,0.569,912,0.574,0.685463667
500,0.258,508,0.19,501,0.906,531,0.794,977,0.438,0.665627628
504,0.493,509,0.379,518,0.982,501,0.373,928,0.434,0.652125831
525,0.817,513,0.734,530,0.532,505,0.695,930,0.421,0.669699858
514,0.754,501,0.671,525,0.769,537,0.705,942,0.555,0.68038615
515,0.724,529,0.492,538,0.248,514,0.821,1034,0.582,0.679062099
516,0.413,505,0.404,538,0.43,501,0.297,977,0.521,0.649834353
539,0.055,515,0.51,515,0.869,505,0.908,1008,0.591,0.668802867
522,0.068,536,0.547,535,0.414,505,0.584,970,0.531,0.673294065
540,0.242,513,0.573,528,0.259,527,0.953,1082,0.437,0.684945427
539,0.193,506,0.765,528,0.466,533,0.621,1066,0.525,0.681263161
523,0.205,500,0.076,513,0.469,510,0.767,1078,0.575,0.63579472
505,0.297,534,0.235,530,0.58,504,0.48,1093,0.506,0.660615725
522,0.09,517,0.61,530,0.197,531,0.873,932,0.488,0.682360056
518,0.866,516,0.385,534,0.59,500,0.178,917,0.542,0.649703748
535,0.875,516,0.327,511,0.26,511,0.392,1061,0.428,0.634351336
527,0.424,505,0.45,523,0.238,514,0.186,1062,0.409,0.616615
513,0.982,529,0.597,517,0.987,525,0.293,1008,0.503,0.664432035
502,0.243,514,0.745,534,0.752,502,0.125,1006,0.423,0.640656515
516,0.08,518,0,524,0.713,516,0.939,980,0.508,0.679313509
507,0.621,536,0.95,540,0.977,540,0.108,1086,0.446,0.670861998
529,0.262,524,0.58,540,0,529,0.856,1042,0.429,0.698675507
506,0.56,510,0.776,508,0.202,526,0.117,978,0.589,0.61098306
532,0.3,515,0.574,518,0.523,517,0.564,960,0.554,0.675899893
515,0.537,538,0.503,515,0.005,531,0.625,929,0.412,0.651703628
540,0.303,503,0.037,522,0.205,509,0.983,1087,0.41,0.630783942
505,0.218,532,0.631,506,0.083,514,0.849,999,0.574,0.64670315
513,0.527,524,0.218,533,0.189,500,0.165,1029,0.434,0.604312116
523,0.352,536,0.144,516,0.545,522,0.066,1021,0.478,0.617558389
529,0.629,509,0.702,513,0.625,517,0.702,963,0.453,0.671683382
539,0.724,529,0.673,528,0.55,503,0.313,1079,0.423,0.663149832
500,0.093,517,0.882,500,0.945,528,0.212,1074,0.537,0.632722548
506,0.001,517,0.846,501,0.298,538,0.732,972,0.481,0.635986512
503,0.055,515,0.605,504,0.606,540,0.008,957,0.471,0.571458674
520,0.651,532,0.359,525,0.859,533,0.961,1059,0.441,0.694833483
522,0.556,508,0.498,517,0.554,535,0.918,1009,0.481,0.686985654
540,0.698,520,0.665,515,0.951,507,0.671,1056,0.443,0.672902409
500,0.981,511,0.778,506,0.159,533,0.325,1068,0.552,0.630068575
534,0.658,516,0.589,529,0.547,540,0.357,966,0.591,0.683845444
517,0.07,531,0.744,526,0.335,509,0.677,918,0.572,0.668554789
536,0.817,513,0.99,502,0.264,510,0.421,912,0.426,0.645081728
505,0.166,534,0.053,535,0.945,522,0.294,903,0.521,0.658651193
538,0.598,515,0.641,509,0.011,522,0.888,990,0.522,0.646545714
510,0.418,530,0.937,507,0.621,540,0.127,929,0.426,0.65376415
535,0.755,508,0.413,539,0.571,538,0.371,973,0.444,0.683433628
504,0.106,516,0.397,533,0.506,520,0.014,1006,0.551,0.596733921
514,0.07,537,0.572,516,0.404,517,0.857,977,0.594,0.677507359
510,0.447,538,0.944,507,0.833,514,0.217,988,0.493,0.656555973
501,0.436,500,0.09,516,0.479,537,0.4,1051,0.458,0.641642417
527,0.075,535,0.04,510,0.164,516,0.222,1009,0.597,0.577356531
530,0.044,540,0.356,531,1,502,0.96,1089,0.466,0.68010608
510,0.308,520,0.271,515,0.914,504,0.088,965,0.471,0.625563467
513,0.296,523,0.146,538,0.742,500,0.257,1004,0.538,0.649778624
517,0.912,534,0.702,527,0.044,517,0.841,1081,0.482,0.649879339
527,0.397,509,0.192,510,0.175,519,0.649,919,0.564,0.654138444
529,0.916,516,0.163,505,0.651,501,0.034,1047,0.493,0.587814895
536,0.49,501,0.873,533,0.477,514,0.636,989,0.59,0.673073796
520,0.996,501,0.724,520,0.763,503,0.052,1052,0.442,0.621587467
540,0.921,505,0.08,517,0.521,526,0.73,1020,0.593,0.662241297
540,0.102,517,0.658,521,0.078,540,0.352,1093,0.525,0.641373865
508,0.696,526,0.169,502,0.725,519,0.544,1099,0.579,0.652441631
520,0.182,500,0.804,509,0.157,510,0.369,970,0.426,0.613047659
500,0.49,535,0.425,518,0.737,508,0.237,1029,0.437,0.651325261
511,0.137,501,0.69,527,0.468,503,0.697,957,0.579,0.657782574
504,0.007,508,0.272,501,0.779,505,0.54,1073,0.427,0.599770254
518,0.948,506,0.751,522,0.514,513,0.756,1070,0.552,0.661231114
506,0.017,534,0.484,504,0.862,513,0.271,930,0.476,0.633944413
518,0.313,503,0.691,525,0.522,532,0.648,1024,0.474,0.678350048
512,0.933,524,0.14,535,0.858,509,0.597,932,0.464,0.668549689
532,0.645,517,0.464,528,0.774,530,0.885,1039,0.589,0.691712966
505,0.585,512,0.863,510,0.416,533,0.165,941,0.486,0.64033638
520,0.005,517,0.032,503,0.324,532,0.728,987,0.479,0.609801738
530,0.233,514,0.614,522,0.771,517,0.67,1008,0.42,0.678263753
520,0.752,527,0.837,537,0.185,533,0.268,1020,0.536,0.660208422
514,0.962,502,0.128,510,0.928,533,0.926,944,0.525,0.668359197
539,0.856,536,0.314,510,0.239,518,0.848,1025,0.514,0.672285244
536,0.288,506,0.704,533,0.698,536,0.628,1000,0.583,0.690434348
519,0.992,532,0.691,518,0.43,500,0.596,937,0.586,0.661539839
538,0.397,506,0.87,508,0.552,537,0.322,999,0.549,0.665842886
502,0.488,531,0.609,532,0.092,505,0.675,934,0.407,0.649838886
510,0.706,534,0.781,501,0.34,539,0.791,1032,0.515,0.677929769
523,0.512,521,0.743,508,0.347,536,0.987,1084,0.429,0.681523177
525,0.268,509,0.248,532,0.961,522,0.98,958,0.521,0.691905558
517,0.441,505,0.317,518,0.069,534,0.23,993,0.454,0.609462339
507,0.372,522,0.902,534,0.139,515,0.984,922,0.597,0.670310977
523,0.747,505,0.009,529,0.486,540,0.3,978,0.469,0.63777961
536,0.417,516,0.846,515,0.587,536,0.164,1060,0.519,0.656940011
532,0.543,511,0.152,505,0.159,540,0.249,976,0.489,0.630714659
522,0.472,520,0.932,525,0.844,518,0.332,940,0.531,0.670417748
505,0.025,505,0.944,513,0.453,531,0.802,969,0.478,0.657670775
539,0.354,537,0.084,540,0.659,503,0.383,1064,0.597,0.66678086
