SEC1 Temperature, SEC1 Pressure, SEC2 Temperature, SEC2 Pressure, SEC3 Temperature, SEC3 Pressure, SEC4 Temperature, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
565,0.862,483,0.16,480,0.867,552,0.832,971,0.446,0.673806036
562,0.856,515,0.382,531,0.599,491,0.586,990,0.579,0.670862044
590,0.556,559,0.159,523,0.405,563,0.025,930,0.429,0.67344027
505,0.639,563,0.817,536,0.816,539,0.119,1072,0.433,0.681248568
557,0.467,487,0.656,563,0.326,536,0.124,961,0.444,0.672037906
567,0.21,545,0.124,596,0.999,553,0.029,962,0.531,0.718761952
521,0.429,564,0.314,594,0.703,505,0.895,1032,0.55,0.726540272
579,0.747,526,0.57,482,0.945,532,0.985,1019,0.529,0.689933344
478,0.102,585,0.509,525,0.696,506,0.73,1076,0.413,0.688797262
569,0.654,505,0.933,473,0.879,538,0.554,1069,0.574,0.6707646
538,0.854,553,0.139,534,0.225,539,0.417,1098,0.542,0.680232942
540,0.932,542,0.012,565,0.257,492,0.793,1042,0.56,0.649143282
528,0.818,478,0.371,497,0.094,558,0.561,1047,0.495,0.648438135
586,0.318,584,0.035,597,0.931,544,0.455,1073,0.528,0.736066948
536,0.984,586,0.632,537,0.396,552,0.404,1023,0.536,0.69890451
537,0.451,541,0.753,576,0.448,553,0.156,1077,0.546,0.700355585
541,0.645,540,0.722,553,0.588,538,0.52,944,0.496,0.700612457
471,0.898,522,0.653,477,0.987,505,0.522,1070,0.456,0.625544046
517,0.15,568,0.25,536,0.116,480,0.021,1061,0.557,0.581130373
580,0.907,522,0.648,598,0.377,486,0.551,979,0.404,0.697503382
527,0.925,568,0.206,569,0.206,548,0.921,1090,0.54,0.713835372
548,0.579,553,0.376,600,0.984,588,0.148,1082,0.447,0.723356615
562,0.245,509,0.171,473,0.676,505,0.112,1025,0.401,0.579625932
497,0.463,531,0.766,577,0.597,570,0.77,1077,0.516,0.708824963
557,0.826,586,0.122,563,0.628,480,0.721,913,0.418,0.704818356
520,0.702,527,0.468,544,0.153,559,0.753,1079,0.432,0.699312515
582,0.638,599,0.535,490,0.886,525,0.443,1009,0.528,0.709881988
553,0.261,582,0.129,474,0.561,539,0.555,991,0.498,0.697355502
538,0.502,516,0.448,575,0.627,476,0.006,950,0.486,0.679896806
520,0.839,573,0.002,566,0.579,486,0.977,1026,0.448,0.651343386
546,0.447,566,0.341,471,0.485,582,0.029,1011,0.581,0.649587571
562,0.755,596,0.948,475,0.624,572,0.377,915,0.572,0.703635091
572,0.881,484,0.291,508,0.125,578,0.61,1005,0.481,0.687558216
557,0.039,577,0.992,598,0.456,565,0.659,968,0.521,0.715202345
572,0.257,528,0.302,493,0.348,510,0.676,1008,0.472,0.670560697
543,0.221,582,0.12,584,0.737,499,0.052,947,0.578,0.714486947
513,0.937,530,0.183,528,0.585,597,0.159,1084,0.445,0.686879211
485,0.934,496,0.529,493,0.8,535,0.077,901,0.581,0.609313723
515,0.061,514,0.275,549,0.943,507,0.779,1009,0.592,0.679919639
477,0.57,593,0.528,558,0.066,531,0.865,1011,0.525,0.702736092
474,0.832,514,0.861,591,0.394,504,0.919,941,0.467,0.685129235
586,0.157,571,0.714,597,0.979,502,0.857,1050,0.414,0.731025056
512,0.887,573,0.373,505,0.016,485,0.909,1089,0.596,0.6306555
479,0.019,556,0.448,540,0.659,568,0.719,1087,0.575,0.707620026
474,0.228,488,0.67,556,0.233,471,0.868,1062,0.547,0.624978388
543,0.433,510,0.814,553,0.894,553,0.154,1051,0.56,0.685671304
536,0.691,598,0.412,585,0.734,538,0.491,1087,0.575,0.724527145
497,0.165,524,0.986,500,0.421,539,0.395,1086,0.506,0.650923626
537,0.933,578,0.517,549,0.999,534,0.984,963,0.531,0.703196745
549,0.866,549,0.474,509,0.081,553,0.821,1053,0.503,0.690280794
521,0.349,571,0.179,569,0.47,600,0.777,947,0.438,0.747104605
588,0.854,503,0.445,537,0.827,495,0.054,930,0.493,0.668588434
580,0.546,519,0.738,486,0.656,564,0.691,1011,0.411,0.701330493
560,0.903,576,0.436,495,0.978,570,0.134,1065,0.543,0.689934386
575,0.555,548,0.861,501,0.594,541,0.321,1047,0.584,0.690681417
595,0.915,484,0.381,486,0.629,492,0.257,1016,0.452,0.626625444
585,0.006,526,0.547,528,0.348,536,0.799,919,0.439,0.689933517
587,0.132,563,0.252,581,0.433,562,0.348,910,0.501,0.750477268
497,0.091,557,0.703,474,0.084,511,0.533,1079,0.499,0.617666362
568,0.756,487,0.717,575,0.665,556,0.252,945,0.566,0.694690131
499,0.556,490,0.266,497,0.837,506,0.855,1015,0.496,0.639872821
490,0.267,533,0.869,596,0.21,592,0.44,960,0.452,0.715145973
503,0.567,534,0.496,578,0.067,560,0.184,990,0.444,0.678095785
600,0.124,524,0.393,567,0.152,542,0.465,1088,0.533,0.716572817
600,0.949,483,0.978,519,0.732,502,0.967,1011,0.547,0.675733044
550,0.498,532,0.1,555,0.116,590,0.539,1028,0.495,0.72565741
485,0.252,545,0.595,504,0.144,479,0.176,1039,0.458,0.574281763
471,0.55,498,0.123,505,0.686,596,0.279,961,0.471,0.679683486
537,0.197,488,0.145,578,0.301,520,0.794,933,0.576,0.702855787
547,0.59,544,0.068,520,0.259,507,0.324,978,0.43,0.636046794
581,0.285,500,0.903,531,0.503,556,0.472,1097,0.533,0.696859264
492,0.059,509,0.884,485,0.155,580,0.942,1074,0.476,0.6742296
512,0.795,501,0.439,527,0.094,519,0.704,1066,0.448,0.638000482
589,0.142,470,0.785,501,0.336,524,0.083,924,0.585,0.613906516
593,0.759,476,0.503,523,0.284,557,0.111,1017,0.443,0.657289125
562,0.909,526,0.684,536,0.259,512,0.031,933,0.526,0.645759067
537,0.606,516,0.51,488,0.875,564,0.27,1009,0.448,0.675807988
478,0.682,503,0.672,583,0.312,483,0.197,1034,0.462,0.647243116
530,0.745,579,0.939,538,0.292,531,0.472,902,0.524,0.694561216
546,0.714,525,0.733,538,0.545,576,0.391,1089,0.461,0.698865805
489,0.514,597,0.762,579,0.702,540,0.512,938,0.591,0.714849558
515,0.796,515,0.081,486,0.895,479,0.005,1031,0.415,0.54216598
481,0.867,570,0.655,572,0.066,569,0.967,1035,0.509,0.706190775
490,0.781,514,0.773,512,0.096,534,0.563,1033,0.594,0.643735726
484,0.934,569,0.378,544,0.323,540,0.904,902,0.44,0.706357762
526,0.873,558,0.516,504,0.185,545,0.25,1095,0.564,0.665100458
492,0.571,523,0.415,518,0.313,582,0.756,968,0.507,0.709972262
494,0.642,544,0.723,544,0.262,511,0.861,949,0.587,0.683742104
537,0.492,534,0.194,533,0.084,527,0.348,1093,0.6,0.64864709
513,0.122,475,0.155,572,0.727,471,0.454,930,0.435,0.644741768
492,0.311,513,0.696,554,0.25,492,0.123,972,0.552,0.624952536
541,0.402,502,0.278,475,0.083,562,0.528,967,0.5,0.662527574
544,0.528,536,0.247,525,0.989,565,0.16,1061,0.583,0.690417963
596,0.035,588,0.781,573,0.213,568,0.488,1085,0.464,0.729548217
522,0.696,497,0.859,498,0.115,581,0.21,995,0.4,0.653853715
586,0.008,597,0.674,509,0.128,490,0.093,1073,0.464,0.616387882
536,0.7,565,0.283,505,0.517,501,0.117,1090,0.523,0.643952615
584,0.82,574,0.194,546,0.676,544,0.753,952,0.49,0.714688347
552,0.448,479,0.159,570,0.951,531,0.153,1012,0.492,0.679492712
517,0.658,547,0.517,522,0.741,580,0.704,951,0.48,0.708154335
560,0.608,478,0.093,495,0.482,530,0.888,993,0.522,0.66203217
507,0.725,494,0.419,503,0.311,491,0.188,1088,0.49,0.574549421
589,0.96,581,0.247,577,0.816,569,0.043,1069,0.492,0.708061357
473,0.964,585,0.613,499,0.772,493,0.596,980,0.582,0.669459266
517,0.075,595,0.429,544,0.463,555,0.647,963,0.547,0.731221199
470,0.788,494,0.469,548,0.965,508,0.813,978,0.44,0.670450748
577,0.991,559,0.571,482,0.066,528,0.337,992,0.579,0.66658169
521,0.546,509,0.739,536,0.406,562,0.872,907,0.417,0.70063162
558,0.553,522,0.582,475,0.061,538,0.733,1002,0.538,0.669391278
475,0.973,562,0.217,589,0.006,552,0.714,966,0.55,0.67219716
561,0.058,518,0.19,563,0.962,516,0.558,1100,0.45,0.693002597
598,0.334,520,0.242,522,0.604,539,0.24,1029,0.559,0.694466473
582,0.447,572,0.875,568,0.309,562,0.37,919,0.448,0.719552601
565,0.238,549,0.907,483,0.322,483,0.254,941,0.591,0.645499563
521,0.326,584,0.71,558,0.544,502,0.875,1081,0.532,0.710392464
496,0.455,522,0.56,513,0.791,520,0.152,1057,0.406,0.637137526
520,0.816,572,0.073,567,0.226,522,0.908,1017,0.591,0.703431509
500,0.144,503,0.089,566,0.736,586,0.927,990,0.503,0.719621316
550,0.077,505,0.465,492,0.931,485,0.576,1019,0.523,0.628959294
490,0.393,504,0.698,594,0.236,494,0.542,1020,0.577,0.675498309
540,0.484,494,0.698,595,0.819,495,0.222,969,0.598,0.691389344
508,0.894,481,0.103,513,0.04,536,0.169,1013,0.483,0.549384583
