SEC1 Temperature, SEC1 Pressure, SEC2 Temperature, SEC2 Pressure, SEC3 Temperature, SEC3 Pressure, SEC4 Temperature, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
545,0.018,505,0.036,569,0.015,537,0.483,948,0.432,0.58635497
592,0.952,504,0.304,490,0.302,570,0.76,1079,0.573,0.692351155
520,0.971,517,0.254,555,0.212,483,0.048,1025,0.536,0.607879355
538,0.522,533,0.216,541,0.807,520,0.697,938,0.47,0.700447753
555,0.243,599,0.514,471,0.487,542,0.244,923,0.411,0.705266699
564,0.011,489,0.388,591,0.695,474,0.17,1100,0.557,0.650364965
543,0.876,515,0.657,539,0.421,485,0.783,985,0.4,0.665924065
535,0.743,494,0.328,554,0.031,600,0.987,1004,0.451,0.706681773
577,0.741,480,0.336,573,0.068,526,0.702,1038,0.438,0.675868825
538,0.108,474,0.177,541,0.375,536,0.467,905,0.571,0.67497793
525,0.025,476,0.824,499,0.454,591,0.857,992,0.494,0.688269921
578,0.989,518,0.544,500,0.788,560,0.597,938,0.479,0.689630131
569,0.13,547,0.313,594,0.28,486,0.926,936,0.471,0.725914387
550,0.944,476,0.788,504,0.135,542,0.478,1093,0.566,0.643499494
526,0.023,556,0.114,477,0.619,583,0.887,1038,0.472,0.700182633
478,0.768,589,0.226,542,0.333,535,0.443,979,0.561,0.704720084
519,0.718,516,0.879,576,0.939,519,0.386,938,0.46,0.687505904
600,0.224,516,0.991,531,0.571,489,0.479,1075,0.439,0.680888217
542,0.675,486,0.052,495,0.048,505,0.805,953,0.588,0.587230757
593,0.655,532,0.892,568,0.836,511,0.464,1049,0.512,0.702419297
563,0.253,548,0.336,485,0.42,541,0.281,946,0.564,0.684665212
583,0.313,505,0.345,476,0.937,495,0.117,1074,0.471,0.613004521
514,0.12,521,0.912,582,0.459,581,0.75,928,0.472,0.708794518
584,0.523,501,0.706,528,0.305,550,0.049,1026,0.51,0.652330328
478,0.897,473,0.048,556,0.713,577,0.297,1085,0.446,0.672335409
480,0.697,561,0.474,529,0.438,596,0.892,1016,0.554,0.718339875
566,0.955,494,0.755,564,0.591,510,0.74,901,0.49,0.684652867
573,0.578,551,0.304,480,0.287,598,0.61,1017,0.401,0.724811427
494,0.833,566,0.818,535,0.441,553,0.75,1097,0.421,0.696856209
576,0.918,532,0.038,530,0.124,588,0.996,913,0.43,0.704136688
555,0.955,504,0.109,555,0.094,491,0.607,1019,0.511,0.628978283
541,0.277,474,0.167,509,0.094,498,0.862,1099,0.562,0.597157579
583,0.312,555,0.721,594,0.411,479,0.966,969,0.479,0.721743214
500,0.987,507,0.48,569,0.567,516,0.836,1060,0.522,0.684992706
473,0.504,599,0.943,552,0.995,505,0.557,1064,0.567,0.699354949
577,0.278,582,0.119,516,0.339,570,0.903,928,0.514,0.742917912
594,0.451,585,0.751,557,0.751,532,0.2,969,0.457,0.72316724
571,0.704,546,0.51,470,0.901,509,0.627,913,0.436,0.680005488
496,0.956,490,0.67,574,0.132,591,0.175,1023,0.588,0.682634061
578,0.222,519,0.445,533,0.657,529,0.462,1031,0.495,0.70073112
573,0.141,591,0.733,555,0.244,491,0.225,1078,0.554,0.699359306
547,0.07,598,0.201,600,0.208,531,0.66,1091,0.584,0.746865139
585,0.558,595,0.122,558,0.498,472,0.204,973,0.466,0.709957453
579,0.203,543,0.79,527,0.254,545,0.851,906,0.42,0.714025504
471,0.523,546,0.997,528,0.854,494,0.062,1077,0.476,0.64255675
566,0.438,546,0.786,500,0.357,558,0.323,1080,0.44,0.693806449
490,0.447,507,0.967,515,0.794,586,0.756,968,0.473,0.688733065
544,0.911,529,0.17,533,0.886,569,0.724,1090,0.485,0.698313785
502,0.726,496,0.626,593,0.111,565,0.729,962,0.572,0.705746885
516,0.458,480,0.205,516,0.439,531,0.402,950,0.427,0.647850205
487,0.827,568,0.859,491,0.194,561,0.649,1089,0.456,0.685225803
537,0.897,505,0.063,568,0.151,574,0.343,954,0.573,0.693777932
480,0.657,561,0.979,579,0.8,573,0.23,952,0.541,0.696726513
504,0.733,561,0.871,565,0.219,512,0.234,968,0.404,0.676714901
584,0.565,557,0.577,514,0.813,524,0.213,904,0.563,0.698603107
591,0.724,511,0.9,528,0.875,584,0.594,965,0.408,0.701582269
599,0.7,490,0.741,570,0.035,599,0.93,1058,0.563,0.708273965
550,0.576,470,0.626,517,0.187,555,0.648,963,0.495,0.679690142
557,0.981,479,0.843,567,0.334,539,0.311,962,0.429,0.675537954
584,0.475,471,0.055,555,0.293,497,0.802,1051,0.403,0.667614179
552,0.934,546,0.738,475,0.782,516,0.913,1081,0.532,0.674319069
471,0.321,593,0.703,520,0.669,472,0.967,991,0.428,0.683432272
511,0.665,568,0.677,544,0.306,503,0.383,1007,0.435,0.680934112
476,0.158,525,0.112,507,0.343,560,0.559,1035,0.484,0.669937407
558,0.372,471,0.7,480,0.36,494,0.24,997,0.494,0.58907739
498,0.065,573,0.43,525,0.912,596,0.29,929,0.438,0.716840344
569,0.169,476,0.258,584,0.829,537,0.562,1003,0.4,0.715738724
562,0.228,543,0.86,538,0.471,578,0.068,1004,0.573,0.691207177
594,0.704,505,0.938,577,0.022,483,0.03,1049,0.42,0.613404352
518,0.262,559,0.362,504,0.411,525,0.326,919,0.409,0.675708163
538,0.183,491,0.766,569,0.71,472,0.718,1096,0.568,0.670118926
475,0.975,494,0.677,552,0.246,501,0.473,920,0.425,0.641248361
577,0.698,584,0.997,502,0.351,488,0.967,900,0.448,0.696182773
579,0.934,474,0.252,485,0.349,562,0.987,1070,0.498,0.681146453
526,0.03,551,0.976,579,0.729,493,0.463,930,0.539,0.688440237
514,0.914,577,0.146,480,0.875,490,0.777,926,0.461,0.65828491
556,0.576,591,0.885,598,0.972,516,0.295,978,0.552,0.714120548
578,0.1,515,0.031,525,0.963,520,0.782,1008,0.579,0.672807293
597,0.056,554,0.802,521,0.807,506,0.143,997,0.446,0.682961014
593,0.621,477,0.995,507,0.647,512,0.819,1012,0.562,0.674144923
547,0.728,526,0.271,530,0.382,520,0.223,992,0.554,0.663803805
542,0.132,558,0.478,567,0.75,573,0.006,941,0.413,0.701225999
487,0.567,477,0.233,484,0.722,589,0.406,1078,0.506,0.668199917
587,0.062,565,0.185,571,0.338,555,0.506,916,0.59,0.748211089
549,0.485,523,0.701,551,0.837,569,0.205,950,0.536,0.700792451
597,0.683,481,0.188,471,0.511,585,0.979,989,0.491,0.703529988
492,0.11,517,0.674,577,0.347,540,0.694,990,0.549,0.704119218
582,0.037,522,0.333,531,0.689,552,0.902,966,0.553,0.714487048
549,0.746,515,0.452,533,0.359,563,0.908,978,0.416,0.705555069
519,0.137,565,0.265,550,0.376,537,0.124,1005,0.59,0.685077384
581,0.944,589,0.094,595,0.533,525,0.597,1002,0.461,0.71436594
562,0.747,572,0.329,503,0.389,520,0.135,1077,0.437,0.664042684
551,0.973,559,0.076,516,0.419,511,0.352,1069,0.452,0.647811496
561,0.558,471,0.762,497,0.002,542,0.683,949,0.515,0.641292363
590,0.696,512,0.624,475,0.119,513,0.364,1079,0.405,0.639771281
555,0.512,483,0.724,550,0.941,499,0.867,1016,0.492,0.682676734
483,0.987,489,0.073,493,0.696,593,0.102,948,0.429,0.627961668
517,0.315,574,0.832,545,0.695,538,0.157,970,0.542,0.697079578
538,0.087,535,0.086,533,0.737,598,0.205,973,0.543,0.707970841
517,0.935,542,0.249,551,0.038,549,0.955,1058,0.549,0.682735234
501,0.46,476,0.871,490,0.234,486,0.837,1052,0.552,0.595147683
547,0.225,542,0.126,524,0.584,474,0.379,1004,0.552,0.6458615
486,0.92,502,0.197,514,0.19,511,0.96,1013,0.585,0.636204766
544,0.11,598,0.075,473,0.483,564,0.265,979,0.524,0.689389872
563,0.449,551,0.724,547,0.373,535,0.312,1042,0.598,0.701575038
587,0.777,544,0.459,558,0.487,519,0.102,1095,0.452,0.691834004
549,0.216,575,0.32,570,0.971,562,0.303,1069,0.415,0.732624194
496,0.498,588,0.893,518,0.336,523,0.921,910,0.509,0.698612624
503,0.239,566,0.659,548,0.698,523,0.621,1047,0.401,0.704010336
561,0.905,537,0.442,485,0.123,490,0.047,918,0.462,0.597979707
530,0.422,564,0.466,531,0.263,555,0.76,903,0.569,0.721072824
517,0.723,580,0.788,516,0.376,584,0.753,966,0.586,0.707324953
561,0.546,590,0.687,493,0.884,496,0.184,954,0.473,0.691951993
477,0.773,485,0.212,597,0.078,481,0.861,1074,0.418,0.626701361
571,0.949,498,0.528,473,0.132,588,0.817,984,0.535,0.690647948
503,0.004,588,0.43,522,0.462,549,0.212,1056,0.58,0.670823174
572,0.13,578,0.373,538,0.76,571,0.243,1014,0.566,0.729879233
551,0.268,580,0.768,496,0.188,535,0.782,949,0.502,0.706238819
475,0.47,481,0.814,577,0.592,594,0.469,1023,0.525,0.703548266
563,0.13,510,0.049,593,0.201,561,0.048,927,0.567,0.666604689
542,0.318,513,0.038,559,0.563,482,0.328,1050,0.528,0.637633516
592,0.486,499,0.116,597,0.417,472,0.406,1096,0.497,0.692660361
566,0.461,505,0.155,571,0.118,568,0.024,961,0.557,0.64082438
547,0.174,494,0.874,563,0.956,488,0.357,1065,0.52,0.672010024
574,0.37,588,0.21,545,0.427,473,0.644,960,0.585,0.712617382
535,0.362,497,0.34,482,0.41,521,0.247,1061,0.53,0.61172848
488,0.263,470,0.032,526,0.45,570,0.856,1005,0.438,0.679841606
534,0.626,494,0.843,553,0.631,476,0.376,931,0.522,0.661517639
502,0.335,585,0.916,533,0.7,553,0.582,970,0.402,0.708683862
510,0.933,515,0.773,560,0.708,586,0.882,1088,0.559,0.693650615
471,0.217,517,0.205,566,0.233,511,0.25,1038,0.403,0.634106524
499,0.84,484,0.328,600,0.787,482,0.679,1071,0.433,0.683405498
526,0.093,567,0.052,563,0.014,567,0.01,907,0.446,0.522575049
483,0.839,489,0.942,512,0.324,490,0.625,1053,0.588,0.613838893
525,0.711,524,0.33,531,0.088,597,0.998,920,0.41,0.715605303
596,0.962,518,0.352,477,0.012,564,0.13,1076,0.504,0.640671274
581,0.346,591,0.518,505,0.662,523,0.177,902,0.487,0.711123978
591,0.166,511,0.504,481,0.775,494,0.938,1060,0.532,0.664985335
533,0.658,497,0.166,560,0.42,570,0.296,1095,0.558,0.699057629
568,0.548,539,0.032,576,0.375,552,0.381,1023,0.41,0.710882634
596,0.816,495,0.537,501,0.578,586,0.862,1049,0.41,0.704388544
528,0.362,572,0.469,501,0.152,481,0.653,1014,0.588,0.653394685
502,0.378,471,0.944,502,0.354,554,0.003,1051,0.587,0.534397762
494,0.438,558,0.547,570,0.196,484,0.92,970,0.566,0.689414122
513,0.798,525,0.612,528,0.506,493,0.147,979,0.447,0.640756459
470,0.305,553,0.586,512,0.157,588,0.883,1042,0.532,0.711289048
569,0.64,579,0.093,534,0.638,590,0.282,994,0.479,0.722349323
558,0.177,501,0.391,530,0.368,473,0.738,1000,0.582,0.650128039
557,0.581,546,0.257,505,0.268,492,0.522,930,0.533,0.661410525
479,0.317,578,0.865,502,0.225,572,0.322,1065,0.52,0.689671494
540,0.865,504,0.616,491,0.029,474,0.142,916,0.585,0.553394952
494,0.637,526,0.171,524,0.896,587,0.511,926,0.464,0.703253184
530,0.056,597,0.599,521,0.384,505,0.003,981,0.578,0.649855079
558,0.231,478,0.167,529,0.787,556,0.515,1033,0.439,0.69170064
569,0.178,505,0.317,495,0.944,488,0.215,972,0.524,0.630151254
478,0.006,486,0.974,552,0.979,538,0.059,992,0.511,0.612498974
509,0.436,476,0.726,529,0.448,535,0.465,950,0.437,0.664921785
478,0.052,575,0.26,507,0.958,560,0.724,1049,0.6,0.700881409
493,0.143,581,0.349,600,0.599,532,0.528,1031,0.438,0.735671972
559,0.289,584,0.723,510,0.682,568,0.309,1077,0.447,0.716777133
523,0.933,567,0.265,550,0.564,575,0.332,983,0.453,0.709245304
472,0.45,565,0.172,507,0.199,576,0.321,920,0.594,0.698073759
505,0.669,589,0.377,600,0.703,509,0.843,1074,0.529,0.725600432
493,0.436,540,0.209,580,0.37,550,0.671,984,0.441,0.726844925
566,0.167,518,0.735,531,0.719,472,0.944,936,0.557,0.678874406
591,0.904,593,0.005,502,0.939,473,0.077,1062,0.466,0.607092913
490,0.077,596,0.971,550,0.634,498,0.481,1031,0.407,0.692996875
501,0.392,541,0.77,567,0.76,494,0.802,1097,0.412,0.691822419
551,0.81,482,0.893,513,0.919,551,0.872,915,0.455,0.681909821
482,0.696,525,0.656,576,0.766,589,0.471,970,0.456,0.705185247
480,0.259,548,0.426,537,0.991,567,0.684,995,0.52,0.709573013
530,0.794,530,0.439,491,0.095,571,0.983,1004,0.43,0.693266099
495,0.443,478,0.283,511,0.567,587,0.252,1090,0.552,0.672221561
570,0.637,485,0.424,476,0.247,517,0.924,962,0.503,0.654822042
600,0.18,507,0.623,526,0.726,505,0.86,940,0.485,0.699252247
597,0.256,549,0.296,563,0.866,544,0.12,1009,0.47,0.723293388
477,0.923,593,0.089,507,0.003,567,0.083,1033,0.52,0.593689273
557,0.87,563,0.211,500,0.952,562,0.455,982,0.422,0.697939998
547,0.493,545,0.288,572,0.129,511,0.136,1016,0.498,0.666785792
565,0.006,493,0.752,525,0.079,507,0.957,1059,0.443,0.609325177
557,0.033,479,0.966,491,0.199,517,0.176,1061,0.578,0.571042277
566,0.642,600,0.721,516,0.575,590,0.472,1090,0.421,0.720088231
580,0.69,470,0.022,545,0.22,567,0.817,965,0.44,0.704683233
475,0.217,546,0.069,540,0.754,505,0.938,911,0.575,0.678323263
512,0.157,475,0.255,522,0.216,516,0.471,1044,0.496,0.614003843
577,0.383,508,0.546,497,0.801,523,0.352,1077,0.557,0.669834648
478,0.438,486,0.833,487,0.471,576,0.394,930,0.419,0.666122669
532,0.251,557,0.214,551,0.085,509,0.1,936,0.475,0.628276024
554,0.243,531,0.611,591,0.663,536,0.618,991,0.597,0.720569079
491,0.633,561,0.583,528,0.611,566,0.389,1044,0.483,0.702214366
481,0.014,552,0.499,502,0.211,488,0.041,1024,0.471,0.528169707
543,0.668,590,0.836,490,0.556,516,0.266,932,0.508,0.686486208
566,0.063,501,0.837,570,0.299,563,0.718,1057,0.596,0.709509599
507,0.772,596,0.682,472,0.993,576,0.784,975,0.435,0.707014967
510,0.673,550,0.69,495,0.46,505,0.205,958,0.563,0.643884598
541,0.205,573,0.866,562,0.093,475,0.5,942,0.508,0.674664002
492,0.675,527,0.527,549,0.706,524,0.808,977,0.496,0.692894421
580,0.745,477,0.002,576,0.233,597,0.353,1021,0.592,0.715126845
494,0.308,552,0.169,487,0.563,496,0.753,907,0.522,0.649999931
584,0.233,481,0.263,495,0.3,554,0.613,926,0.441,0.691367776
511,0.479,551,0.321,488,0.609,593,0.531,1023,0.492,0.713424405
489,0.182,576,0.79,495,0.497,587,0.796,1064,0.409,0.711634212
582,0.455,566,0.693,497,0.755,486,0.866,1071,0.435,0.694796167
536,0.5,502,0.316,496,0.255,489,0.299,955,0.455,0.597509917
532,0.608,506,0.342,549,0.902,558,0.31,1035,0.595,0.695245196
590,1,493,0.31,540,0.201,498,0.708,1069,0.563,0.66012523
560,0.874,569,0.751,567,0.075,483,0.824,963,0.445,0.680835742
573,0.805,495,0.343,551,0.249,505,0.747,1083,0.415,0.672754001
577,0.146,582,0.094,579,0.733,497,0.119,1014,0.47,0.717875398
502,0.89,520,0.53,581,0.1,510,0.561,962,0.444,0.668033543
479,0.475,573,0.387,502,0.682,504,0.539,908,0.408,0.676223423
505,0.691,509,0.404,514,0.602,512,0.947,972,0.506,0.668942841
597,0.113,564,0.201,479,0.847,535,0.738,903,0.559,0.713397399
551,0.453,534,0.313,556,0.231,502,0.718,1095,0.428,0.68743611
580,0.068,582,0.074,522,0.598,519,0.965,1099,0.419,0.703172416
579,0.029,510,0.713,531,0.572,515,0.254,910,0.427,0.661094051
525,0.573,518,0.987,487,0.538,485,0.929,946,0.462,0.646123257
504,0.266,493,0.554,518,0.347,569,0.504,930,0.55,0.691798042
597,0.125,573,0.629,485,0.053,495,0.785,1035,0.444,0.679464804
535,0.803,504,0.566,587,0.374,563,0.452,945,0.48,0.705712794
572,0.491,576,0.816,532,0.924,597,0.263,968,0.494,0.71595271
568,0.705,490,0.45,552,0.021,521,0.369,1044,0.566,0.627446014
545,0.067,549,0.933,518,0.818,591,0.374,1098,0.422,0.701271195
498,0.647,546,0.626,567,0.546,494,0.776,904,0.513,0.694983707
492,0.4,578,0.478,514,0.07,482,0.948,962,0.488,0.651066734
571,0.284,483,0.107,517,0.747,527,0.358,1043,0.536,0.658357413
584,0.406,567,0.061,588,0.012,485,0.811,904,0.585,0.658337627
555,0.792,506,0.219,513,0.505,568,0.963,962,0.49,0.701296555
551,0.89,476,0.026,536,0.313,595,0.012,1062,0.548,0.587516036
552,0.885,556,1,521,0.384,482,0.097,935,0.449,0.663072437
535,0.872,566,0.812,560,0.207,525,0.653,955,0.581,0.693514598
587,0.381,483,0.373,555,0.108,591,0.872,1045,0.577,0.729361708
552,0.623,586,0.67,596,0.36,519,0.34,951,0.588,0.716897655
586,0.08,472,0.613,572,0.705,514,0.075,1073,0.598,0.664694314
482,0.438,491,0.778,518,0.957,487,0.431,1070,0.401,0.623304885
540,0.777,474,0.337,529,0.786,590,0.901,957,0.463,0.69930803
558,0.465,531,0.263,598,0.252,551,0.97,975,0.491,0.737867551
523,0.451,530,0.757,483,0.175,550,0.717,929,0.42,0.68137004
491,0.512,598,0.959,474,0.92,509,0.964,924,0.502,0.6906052
491,0.48,600,0.391,499,0.452,595,0.797,1018,0.525,0.731017725
576,0.545,500,0.276,592,0.05,512,0.126,907,0.514,0.648770534
595,0.416,541,0.139,483,0.063,543,0.166,1029,0.453,0.636457218
493,0.761,565,0.623,580,0.015,490,0.858,967,0.521,0.651238955
583,0.232,537,0.937,508,0.585,562,0.631,1088,0.517,0.706589823
534,0.465,502,0.922,533,0.605,492,0.056,992,0.528,0.636763305
507,0.627,533,0.499,566,0.288,554,0.116,942,0.443,0.684938148
484,0.633,473,0.572,536,0.869,492,0.026,984,0.418,0.603360013
595,0.313,503,0.925,515,0.124,500,0.661,932,0.443,0.663610039
477,0.558,552,0.235,571,0.263,597,0.963,937,0.465,0.74032348
508,0.412,587,0.464,488,0.794,483,0.841,1005,0.558,0.678263942
559,0.807,542,0.562,487,0.336,505,0.14,1013,0.578,0.636625902
546,0.366,565,0.029,492,0.85,544,0.567,929,0.486,0.680910089
523,0.207,534,0.537,588,0.126,590,0.535,929,0.525,0.735205547
556,0.354,573,0.237,497,0.806,572,0.209,1057,0.424,0.706831935
594,0.141,496,0.754,540,0.373,480,0.396,982,0.571,0.662760227
571,0.293,514,0.3,523,0.694,544,0.166,992,0.549,0.682280885
512,0.479,571,0.324,585,0.206,498,0.958,932,0.537,0.718125028
509,0.995,591,0.125,600,0.77,533,0.058,1017,0.414,0.708930023
538,0.645,572,0.163,571,0.129,595,0.392,1063,0.432,0.73509364
507,0.105,593,0.853,535,0.619,584,0.029,994,0.524,0.687207112
516,0.472,513,0.67,594,0.754,562,0.381,950,0.486,0.708845191
500,0.697,475,0.426,600,0.197,498,0.246,998,0.434,0.65270359
520,0.473,511,0.957,570,0.752,590,0.776,1029,0.53,0.698326397
533,0.104,571,0.306,472,0.538,477,0.54,1049,0.454,0.627445854
595,0.802,561,0.389,500,0.044,591,0.882,977,0.488,0.714983972
580,0.93,512,0.21,529,0.086,529,0.736,938,0.551,0.67230615
593,0.919,485,0.04,587,0.341,491,0.464,968,0.556,0.67629466
521,0.892,570,0.044,520,0.156,502,0.74,944,0.591,0.647360269
565,0.755,504,0.699,532,0.435,502,0.313,909,0.44,0.665508598
595,0.635,561,0.266,531,0.767,594,0.468,919,0.424,0.724286182
532,0.575,592,0.433,516,0.186,559,0.188,914,0.411,0.702688253
525,0.742,555,0.588,497,0.457,480,0.439,995,0.51,0.649734332
480,0.636,570,0.865,547,0.167,594,0.698,1042,0.434,0.708756546
520,0.787,515,0.674,546,0.658,573,0.468,923,0.474,0.69607412
531,0.451,558,0.645,598,0.607,587,0.133,921,0.428,0.720417186
475,0.594,482,0.722,585,0.466,530,0.541,1053,0.574,0.685982997
477,0.572,582,0.534,591,0.931,504,0.349,1046,0.418,0.715530763
486,0.254,512,0.512,553,0.285,551,0.263,1011,0.514,0.679897033
584,0.178,500,0.815,555,0.607,488,0.047,1010,0.47,0.668857118
516,0.341,488,0.38,552,0.487,580,0.744,1004,0.559,0.717499237
524,0.039,580,0.672,599,0.722,513,0.55,976,0.508,0.719266178
532,0.466,584,0.75,551,0.856,509,0.704,901,0.505,0.711860564
551,0.432,513,0.925,498,0.312,569,0.282,1040,0.418,0.677229076
551,0.413,501,0.003,595,0.48,580,0.005,908,0.497,0.640346796
563,0.576,494,1,481,0.189,534,0.508,1086,0.479,0.649814505
474,0.133,515,0.463,579,0.43,546,0.749,1095,0.562,0.710161291
582,0.132,594,0.672,494,0.484,573,0.333,984,0.434,0.727751668
538,0.102,527,0.553,540,0.931,569,0.06,925,0.595,0.681185632
538,0.283,514,0.1,492,0.594,532,0.584,937,0.407,0.660495135
493,0.833,524,0.307,544,0.405,553,0.317,942,0.453,0.687690274
548,0.993,578,0.396,592,0.096,473,0.723,1063,0.562,0.685194541
543,0.255,491,0.209,526,0.65,550,0.933,932,0.487,0.702967473
481,0.141,553,0.43,597,0.022,537,0.846,1025,0.586,0.690284968
